article_id,category
1,ent
2,ent
3,ent
4,ent
5,ent
6,ent
7,sports
8,ent
9,ent
10,economy
11,economy
12,sports
13,life
14,tech
15,economy
16,sports
17,ent
18,sports
19,sports
20,life
21,life
22,ent
23,life
24,tech
25,economy
26,life
27,ent
28,sports
29,tech
30,ent
31,economy
32,tech
33,tech
34,ent
35,economy
36,ent
37,tech
38,sports
39,economy
40,tech
41,sports
42,sports
43,sports
44,economy
45,economy
46,tech
47,ent
48,ent
49,sports
50,ent
51,tech
52,sports
53,ent
54,economy
55,ent
56,economy
57,ent
58,ent
59,ent
60,sports
61,economy
62,economy
63,ent
64,sports
65,sports
66,tech
67,ent
68,economy
69,economy
70,economy
71,sports
72,ent
73,ent
74,tech
75,economy
76,sports
77,sports
78,ent
79,ent
80,economy
81,ent
82,life
83,ent
84,economy
85,ent
86,tech
87,tech
88,ent
89,sports
90,life
91,economy
92,ent
93,tech
94,sports
95,ent
96,tech
97,life
98,ent
99,sports
100,ent
101,tech
102,tech
103,life
104,ent
105,ent
106,sports
107,ent
108,ent
109,ent
110,economy
111,economy
112,tech
113,ent
114,tech
115,sports
116,ent
117,economy
118,tech
119,ent
120,tech
121,sports
122,economy
123,tech
124,economy
125,sports
126,ent
127,sports
128,tech
129,life
130,tech
131,tech
132,economy
133,tech
134,ent
135,sports
136,sports
137,sports
138,sports
139,life
140,tech
141,tech
142,tech
143,tech
144,economy
145,ent
146,tech
147,ent
148,economy
149,ent
150,sports
151,ent
152,economy
153,tech
154,ent
155,ent
156,life
157,ent
158,economy
159,tech
160,economy
161,ent
162,economy
163,life
164,sports
165,economy
166,ent
167,life
168,ent
169,ent
170,ent
171,life
172,sports
173,ent
174,ent
175,tech
176,ent
177,economy
178,economy
179,tech
180,economy
181,tech
182,ent
183,sports
184,ent
185,sports
186,sports
187,sports
188,life
189,life
190,ent
191,economy
192,economy
193,life
194,ent
195,economy
196,sports
197,ent
198,economy
199,ent
200,ent
201,tech
202,ent
203,ent
204,sports
205,economy
206,economy
207,life
208,sports
209,ent
210,ent
211,sports
212,sports
213,life
214,sports
215,sports
216,tech
217,tech
218,economy
219,sports
220,ent
221,sports
222,ent
223,sports
224,tech
225,sports
226,ent
227,ent
228,tech
229,ent
230,sports
231,tech
232,ent
233,economy
234,ent
235,economy
236,ent
237,ent
238,ent
239,tech
240,sports
241,tech
242,sports
243,tech
244,sports
245,sports
246,economy
247,ent
248,life
249,life
250,ent
251,life
252,ent
253,economy
254,tech
255,ent
256,ent
257,tech
258,sports
259,sports
260,tech
261,ent
262,ent
263,life
264,economy
265,economy
266,ent
267,life
268,ent
269,ent
270,ent
271,economy
272,ent
273,ent
274,sports
275,economy
276,ent
277,economy
278,sports
279,ent
280,ent
281,life
282,economy
283,ent
284,sports
285,ent
286,sports
287,economy
288,ent
289,life
290,sports
291,ent
292,ent
293,ent
294,tech
295,sports
296,tech
297,ent
298,ent
299,sports
300,sports
301,ent
302,ent
303,life
304,economy
305,ent
306,tech
307,sports
308,tech
309,life
310,ent
311,life
312,ent
313,ent
314,economy
315,economy
316,ent
317,ent
318,ent
319,ent
320,ent
321,ent
322,life
323,tech
324,life
325,ent
326,ent
327,sports
328,economy
329,economy
330,ent
331,tech
332,sports
333,sports
334,sports
335,ent
336,ent
337,life
338,sports
339,ent
340,ent
341,ent
342,life
343,tech
344,sports
345,life
346,sports
347,tech
348,sports
349,tech
350,life
351,sports
352,ent
353,ent
354,ent
355,ent
356,sports
357,sports
358,ent
359,life
360,ent
361,ent
362,ent
363,life
364,sports
365,ent
366,ent
367,sports
368,life
369,sports
370,sports
371,sports
372,ent
373,sports
374,sports
375,economy
376,ent
377,ent
378,sports
379,economy
380,sports
381,tech
382,tech
383,life
384,sports
385,life
386,economy
387,economy
388,sports
389,ent
390,sports
391,tech
392,life
393,sports
394,life
395,ent
396,life
397,sports
398,economy
399,sports
400,life
401,ent
402,sports
403,tech
404,ent
405,sports
406,sports
407,tech
408,life
409,ent
410,economy
411,sports
412,economy
413,ent
414,ent
415,sports
416,ent
417,economy
418,ent
419,life
420,tech
421,economy
422,tech
423,life
424,tech
425,economy
426,sports
427,tech
428,economy
429,sports
430,sports
431,ent
432,tech
433,tech
434,ent
435,ent
436,life
437,ent
438,economy
439,sports
440,sports
441,ent
442,ent
443,sports
444,sports
445,tech
446,life
447,tech
448,sports
449,sports
450,ent
451,economy
452,sports
453,tech
454,economy
455,ent
456,sports
457,economy
458,tech
459,sports
460,economy
461,ent
462,life
463,sports
464,tech
465,sports
466,life
467,economy
468,ent
469,sports
470,ent
471,tech
472,tech
473,sports
474,ent
475,tech
476,tech
477,sports
478,economy
479,ent
480,ent
481,life
482,economy
483,ent
484,sports
485,sports
486,ent
487,life
488,ent
489,ent
490,tech
491,ent
492,sports
493,economy
494,ent
495,sports
496,sports
497,life
498,tech
499,ent
500,sports
501,economy
502,ent
503,ent
504,sports
505,sports
506,life
507,ent
508,ent
509,tech
510,tech
511,sports
512,tech
513,tech
514,ent
515,economy
516,economy
517,sports
518,life
519,life
520,sports
521,ent
522,life
523,sports
524,ent
525,economy
526,economy
527,ent
528,ent
529,tech
530,life
531,sports
532,ent
533,sports
534,sports
535,ent
536,economy
537,ent
538,tech
539,tech
540,tech
541,ent
542,economy
543,sports
544,sports
545,economy
546,tech
547,tech
548,ent
549,economy
550,ent
551,economy
552,sports
553,tech
554,life
555,ent
556,tech
557,economy
558,sports
559,sports
560,ent
561,ent
562,ent
563,economy
564,ent
565,sports
566,tech
567,economy
568,ent
569,economy
570,ent
571,tech
572,ent
573,ent
574,life
575,ent
576,ent
577,ent
578,sports
579,tech
580,ent
581,ent
582,tech
583,ent
584,ent
585,ent
586,tech
587,sports
588,economy
589,economy
590,sports
591,tech
592,life
593,economy
594,tech
595,ent
596,sports
597,economy
598,ent
599,ent
600,ent
601,ent
602,tech
603,ent
604,economy
605,ent
606,sports
607,ent
608,ent
609,sports
610,ent
611,sports
612,economy
613,life
614,economy
615,sports
616,sports
617,sports
618,sports
619,sports
620,sports
621,tech
622,sports
623,ent
624,economy
625,tech
626,tech
627,ent
628,economy
629,life
630,ent
631,sports
632,ent
633,tech
634,ent
635,economy
636,ent
637,ent
638,ent
639,ent
640,tech
641,ent
642,ent
643,tech
644,sports
645,sports
646,ent
647,life
648,sports
649,ent
650,economy
651,sports
652,sports
653,sports
654,sports
655,economy
656,ent
657,tech
658,ent
659,economy
660,ent
661,sports
662,sports
663,economy
664,tech
665,sports
666,tech
667,life
668,life
669,ent
670,ent
671,economy
672,ent
673,tech
674,ent
675,tech
676,ent
677,tech
678,economy
679,ent
680,sports
681,sports
682,tech
683,sports
684,sports
685,ent
686,economy
687,ent
688,life
689,economy
690,tech
691,tech
692,ent
693,ent
694,ent
695,ent
696,ent
697,tech
698,sports
699,sports
700,sports
701,ent
702,sports
703,ent
704,tech
705,economy
706,ent
707,economy
708,sports
709,ent
710,ent
711,ent
712,tech
713,tech
714,economy
715,ent
716,ent
717,sports
718,ent
719,sports
720,ent
721,ent
722,sports
723,ent
724,economy
725,tech
726,economy
727,life
728,economy
729,tech
730,economy
731,tech
732,sports
733,sports
734,ent
735,sports
736,sports
737,life
738,economy
739,ent
740,sports
741,tech
742,tech
743,economy
744,ent
745,tech
746,life
747,tech
748,economy
749,ent
750,life
751,ent
752,ent
753,economy
754,sports
755,tech
756,economy
757,ent
758,economy
759,tech
760,tech
761,ent
762,ent
763,ent
764,tech
765,economy
766,sports
767,ent
768,tech
769,tech
770,sports
771,ent
772,sports
773,tech
774,sports
775,tech
776,ent
777,ent
778,ent
779,ent
780,ent
781,sports
782,sports
783,tech
784,sports
785,ent
786,ent
787,ent
788,economy
789,economy
790,economy
791,tech
792,ent
793,sports
794,ent
795,ent
796,sports
797,economy
798,tech
799,ent
800,sports
801,tech
802,tech
803,economy
804,sports
805,ent
806,economy
807,ent
808,sports
